x_1,x_2,y
2.523519615873796,0.9408730441106039,1
9.018653613329478,7.243306264228878,2
8.852691612362436,7.414475832096221,2
2.846259649449819,3.1270897500751205,1
7.774536507681153,3.966554035461456,2
2.5615322629534045,1.3395794742625922,1
2.9461116571051473,8.098462553589444,0
0.8818267505070276,3.1151856194871153,1
0.17246356825155962,5.735505778862917,0
0.03114570139904904,1.2285103822777732,1
2.595752205575812,9.71172041783518,0
8.99148441563175,9.798704528610989,2
8.08364680090772,3.653249855584918,2
3.599354455082331,6.885631693877253,0
8.996664968974423,6.820079208599198,2
7.524558393185988,5.997548399871456,2
1.5031816379167895,9.098895015503349,0
4.780919543746355,1.5479946105195708,1
7.491370906246393,4.678525099356189,2
7.386711802448392,8.952546842154357,2
7.778876966253096,1.2500796050175444,1
8.872888588573986,2.3391818050917323,2
0.4712298974413742,4.322691759188829,1
0.04529120036552037,3.9993490853235247,1
8.013608028849974,8.47296345762415,2
9.596736642871754,1.0465312039356256,2
8.093564657724118,0.968267450002589,1
2.9649433117181423,9.494257015563912,0
2.3954908488134743,8.794907649724973,0
1.391803713101225,2.279916288348338,1
3.5897697482730564,3.382084888635881,1
6.886688270125013,1.8896648716420517,1
3.6462178553920555,1.3374074261112245,1
0.8730092681628343,6.908763923256184,0
7.357402792825889,4.217700834730555,2
9.052563024840598,6.554169671841633,2
7.567655260424681,5.655457912325104,2
0.7407724253771997,0.5743931488707399,1
9.609769942984958,4.121718840232496,2
5.220621414241649,3.873075581841514,1
8.871770046871179,0.1703398692818736,1
7.955821981529806,3.0434486450497324,2
7.770137141733916,5.195514332847643,2
6.477038257159472,9.466481875565325,2
4.054835783582203,1.1191608617218818,1
1.6759220136863096,1.0490395008759135,1
5.96175011781974,7.298400260080383,2
4.809540390435847,2.883806393253634,1
1.8704261773479947,7.493308336189628,0
5.010865295842718,1.5346294584819764,1
3.4866719640995605,7.629163694600296,0
4.0838195304197376,0.2986916950125207,1
6.113338803400997,6.151964298255667,2
8.689261958480019,9.695556230568648,2
2.4137180854551477,9.64177230572542,0
8.023179690381196,6.12358126025879,2
7.193530515687505,1.4950706483238507,1
5.57898847007182,9.783551972976891,2
2.56283075417144,7.656077522308432,0
6.911777224190146,2.146830921376078,1
2.4492071040692642,0.480781002608508,1
1.69855386485387,5.995313488619001,0
5.983663169227715,2.5664096659586324,1
9.214494374119255,5.3377488349369315,2
7.20582277447408,6.862830669353219,2
0.7365822101938757,0.7178592946544782,1
2.5538456004783914,5.6418723847747065,0
4.22298300786601,9.397805190012924,0
3.2955862825256013,8.45061605944954,0
0.29608802167057413,2.5360416491031,1
9.787279347077439,1.2277004276868642,2
0.29661531799820673,4.051427157657188,1
9.515421120421854,7.910449677239445,2
5.650934772849582,7.290459353799896,2
5.661151386262445,9.562489800777096,2
4.220125394541317,9.135868530608137,0
8.42401068877112,8.208337310867241,2
9.130782720218928,7.895331039071976,2
7.237785180131631,0.3345513458110816,1
1.9468936661370806,1.4939775695657265,1
2.393956372486871,9.148354172870295,0
9.283421913604656,8.091756775638899,2
6.137362977879114,2.52516691924772,1
0.8928739969926724,7.595485511092655,0
8.223623718270096,4.749589219381841,2
3.0137463901339423,3.439849768693144,1
9.255122447210333,6.158250060468693,2
2.944502725146856,9.047764779498504,0
9.762159755788046,8.572845046355686,2
5.74820146833873,4.917216200292524,2
9.866792125930765,4.893005397663655,2
7.961335082117552,9.53351909334868,2
7.48271563776213,3.61899374657221,2
3.6746886555149736,2.1877911745075695,1
4.085098067782579,1.205099394482888,1
5.5110315605074645,1.8541637622354057,1
9.616891903333935,2.3356370487477585,2
2.2755045808847774,2.655626983908247,1
9.008773708885988,9.273012367467262,2
8.955106100529296,5.532813153534761,2
1.1563235993924348,1.566535373499952,1
3.247822867628231,1.5794604731052897,1
0.03475153912735007,7.75487353004382,0
3.3367396435769683,6.9601564680952706,0
9.830974352142158,8.322665474308389,2
1.4248017533951274,8.554294912724204,0
7.8684577637650985,0.9802922976758044,1
8.946889766337115,4.942067450457074,2
7.787249708114508,4.983693533412959,2
0.5657709343970829,3.09658733112086,1
4.432512737014145,0.22676992119731954,1
4.348162808795521,3.800947871514321,1
5.905087827416451,1.1447768332240993,1
2.344739771276141,0.8041541154925791,1
9.749240040898938,4.406426481236147,2
1.6400208748377587,9.713028666700495,0
2.7141437332047227,9.814399443565025,0
6.242430957230831,0.4242141706095104,1
2.73954079044588,1.3121982257232712,1
1.6008182465041043,7.360029158842077,0
7.696341066524481,5.797865104995275,2
0.5558954147768536,0.43191802444537797,1
6.937872647076299,0.8175303858954541,1
2.724906459492429,2.0765715137456953,1
5.064060421035396,2.4862851796095065,1
0.20954809190335766,0.23296227379812295,1
1.0037196939483761,2.737624836461473,1
2.9585499808255045,2.158848679039582,1
7.785793995060182,7.935257236887157,2
0.5071902915416526,7.953154510614542,0
8.78598714356643,0.6458918382587031,1
8.06067867578543,2.4674990984568557,2
7.947287265748175,4.451305593299686,2
7.050431995731544,2.277604258891949,1
